Ref,Val,Package,PosX,PosY,Rot,Side
"D186","WW_2700K","Candle_LED_0603_Matrix",7.750000,-395.700000,90.000000,bottom
"D187","WW_2700K","Candle_LED_0603_Matrix",10.650000,-395.700000,90.000000,bottom
"D188","WW_2700K","Candle_LED_0603_Matrix",13.550000,-395.700000,90.000000,bottom
"D189","WW_2700K","Candle_LED_0603_Matrix",16.450000,-395.700000,90.000000,bottom
"D190","WW_2700K","Candle_LED_0603_Matrix",19.350000,-395.700000,90.000000,bottom
"D191","WW_2700K","Candle_LED_0603_Matrix",22.250000,-395.700000,90.000000,bottom
"D192","WW_2700K","Candle_LED_0603_Matrix",25.150000,-395.700000,90.000000,bottom
"D193","WW_2700K","Candle_LED_0603_Matrix",4.850000,-392.800000,90.000000,bottom
"D194","WW_2700K","Candle_LED_0603_Matrix",7.750000,-392.800000,90.000000,bottom
"D195","WW_2700K","Candle_LED_0603_Matrix",10.650000,-392.800000,90.000000,bottom
"D196","WW_2700K","Candle_LED_0603_Matrix",13.550000,-392.800000,90.000000,bottom
"D197","WW_2700K","Candle_LED_0603_Matrix",16.450000,-392.800000,90.000000,bottom
"D198","WW_2700K","Candle_LED_0603_Matrix",19.350000,-392.800000,90.000000,bottom
"D199","WW_2700K","Candle_LED_0603_Matrix",22.250000,-392.800000,90.000000,bottom
"D200","WW_2700K","Candle_LED_0603_Matrix",25.150000,-392.800000,90.000000,bottom
"D201","WW_2700K","Candle_LED_0603_Matrix",4.850000,-389.900000,90.000000,bottom
"D202","WW_2700K","Candle_LED_0603_Matrix",7.750000,-389.900000,90.000000,bottom
"D203","WW_2700K","Candle_LED_0603_Matrix",10.650000,-389.900000,90.000000,bottom
"D204","WW_2700K","Candle_LED_0603_Matrix",13.550000,-389.900000,90.000000,bottom
"D205","WW_2700K","Candle_LED_0603_Matrix",16.450000,-389.900000,90.000000,bottom
"D206","WW_2700K","Candle_LED_0603_Matrix",19.350000,-389.900000,90.000000,bottom
"D207","WW_2700K","Candle_LED_0603_Matrix",22.250000,-389.900000,90.000000,bottom
"D208","WW_2700K","Candle_LED_0603_Matrix",25.150000,-389.900000,90.000000,bottom
"D209","WW_2700K","Candle_LED_0603_Matrix",4.850000,-387.000000,90.000000,bottom
"D210","WW_2700K","Candle_LED_0603_Matrix",7.750000,-387.000000,90.000000,bottom
"D211","WW_2700K","Candle_LED_0603_Matrix",10.650000,-387.000000,90.000000,bottom
"D212","WW_2700K","Candle_LED_0603_Matrix",13.550000,-387.000000,90.000000,bottom
"D213","WW_2700K","Candle_LED_0603_Matrix",16.450000,-387.000000,90.000000,bottom
"D214","WW_2700K","Candle_LED_0603_Matrix",19.350000,-387.000000,90.000000,bottom
"D215","WW_2700K","Candle_LED_0603_Matrix",22.250000,-387.000000,90.000000,bottom
"D216","WW_2700K","Candle_LED_0603_Matrix",25.150000,-387.000000,90.000000,bottom
"D217","WW_2700K","Candle_LED_0603_Matrix",4.850000,-384.100000,90.000000,bottom
"D218","WW_2700K","Candle_LED_0603_Matrix",7.750000,-384.100000,90.000000,bottom
"D219","WW_2700K","Candle_LED_0603_Matrix",10.650000,-384.100000,90.000000,bottom
"D220","WW_2700K","Candle_LED_0603_Matrix",13.550000,-384.100000,90.000000,bottom
"D221","WW_2700K","Candle_LED_0603_Matrix",16.450000,-384.100000,90.000000,bottom
"D222","WW_2700K","Candle_LED_0603_Matrix",19.350000,-384.100000,90.000000,bottom
"D223","WW_2700K","Candle_LED_0603_Matrix",22.250000,-384.100000,90.000000,bottom
"D224","WW_2700K","Candle_LED_0603_Matrix",25.150000,-384.100000,90.000000,bottom
"D225","WW_2700K","Candle_LED_0603_Matrix",4.850000,-381.200000,90.000000,bottom
"D226","WW_2700K","Candle_LED_0603_Matrix",7.750000,-381.200000,90.000000,bottom
"D227","WW_2700K","Candle_LED_0603_Matrix",10.650000,-381.200000,90.000000,bottom
"D228","WW_2700K","Candle_LED_0603_Matrix",13.550000,-381.200000,90.000000,bottom
"D229","WW_2700K","Candle_LED_0603_Matrix",16.450000,-381.200000,90.000000,bottom
"D230","WW_2700K","Candle_LED_0603_Matrix",19.350000,-381.200000,90.000000,bottom
"D231","WW_2700K","Candle_LED_0603_Matrix",22.250000,-381.200000,90.000000,bottom
